"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K460","2020-05-09 00:00:00","60.000","256.000","1.300","27.600","0.850","1002.200","","0.000","-99.000","-99.000","-99.000","33.300","","25.700",""
"C0X100","2020-05-09 00:00:00","10.000","189.000","1.700","29.000","0.920","1007.000","","0.000","-99.000","-99.000","-99.000","32.200","","28.300",""
"C0K560","2020-05-09 00:00:00","117.000","136.000","0.600","25.400","0.850","997.500","","0.000","-99.000","-99.000","-99.000","34.600","","23.800",""
"C0R150","2020-05-09 00:00:00","105.000","109.000","1.700","27.800","0.700","996.900","","0.000","-99.000","-99.000","-99.000","36.200","","25.200",""
"C0S690","2020-05-09 00:00:00","522.000","47.000","0.400","23.500","0.950","952.400","","0.000","-99.000","-99.000","-99.000","30.300","","21.800",""
"C0U870","2020-05-09 00:00:00","474.000","0.000","0.000","22.500","0.980","958.400","","0.000","-99.000","-99.000","-99.000","27.500","","21.400",""
"C0A520","2020-05-09 00:00:00","48.000","0.000","0.000","26.800","0.860","1004.400","","0.000","-99.000","-99.000","-99.000","32.200","","23.200",""
"C0X130","2020-05-09 00:00:00","27.000","188.000","1.600","27.500","0.860","1006.200","","0.000","-99.000","-99.000","-99.000","34.300","","26.400",""
"C0V400","2020-05-09 00:00:00","56.000","96.000","0.700","27.300","0.900","1003.000","","0.000","-99.000","-99.000","-99.000","31.700","","26.400",""
"C0UA40","2020-05-09 00:00:00","1121.000","47.000","0.700","19.700","0.990","888.800","","0.500","-99.000","-99.000","-99.000","22.600","","17.900",""
"C0G720","2020-05-09 00:00:00","50.000","162.000","0.500","27.200","0.860","1003.900","","0.000","-99.000","-99.000","-99.000","33.700","","25.600",""
"C0G890","2020-05-09 00:00:00","24.000","178.000","2.300","28.200","0.950","1006.800","","0.000","-99.000","-99.000","-99.000","32.400","","26.700",""
"C0I540","2020-05-09 00:00:00","3344.000","-99.000","-99.000","8.300","1.000","684.700","","-99.000","-99.000","-99.000","-99.000","10.700","","4.300",""
"C0K390","2020-05-09 00:00:00","31.000","206.000","1.400","27.100","0.860","1006.300","","0.000","-99.000","-99.000","-99.000","33.200","","25.500",""
"C0R730","2020-05-09 00:00:00","163.000","317.000","0.900","26.400","0.930","992.600","","0.000","-99.000","-99.000","-99.000","31.500","","24.500",""
"C0T9A0","2020-05-09 00:00:00","498.000","0.000","0.100","22.800","0.990","955.900","","0.500","-99.000","-99.000","-99.000","24.800","","20.600",""
"C0AH40","2020-05-09 00:00:00","426.000","72.000","0.900","25.300","0.870","959.100","","0.000","-99.000","-99.000","-99.000","29.800","","22.600",""
"C0X280","2020-05-09 00:00:00","22.000","191.000","2.100","27.800","0.870","1007.800","","0.000","-99.000","-99.000","-99.000","31.600","","26.900",""
"C0V620","2020-05-09 00:00:00","18.000","185.000","1.300","28.000","0.990","1007.900","","0.000","-99.000","-99.000","-99.000","30.900","","27.400",""
"C0H960","2020-05-09 00:00:00","120.000","204.000","1.300","27.700","0.820","995.200","","0.000","-99.000","-99.000","-99.000","33.800","","25.600",""
"C0M530","2020-05-09 00:00:00","1385.000","0.000","0.000","15.800","0.990","868.200","","4.500","-99.000","-99.000","-99.000","25.300","","15.800",""
"C0R170","2020-05-09 00:00:00","26.000","0.000","0.000","26.700","1.000","1007.100","","0.000","-99.000","-99.000","-99.000","34.200","","24.900",""
"C0I420","2020-05-09 00:00:00","305.000","0.000","0.000","25.300","0.840","976.200","","0.000","-99.000","-99.000","-99.000","34.000","","22.100",""
"C0A640","2020-05-09 00:00:00","241.000","0.000","0.000","24.200","0.890","983.600","","0.000","-99.000","-99.000","-99.000","29.900","","22.200",""
"C0A930","2020-05-09 00:00:00","216.000","329.000","0.600","23.400","1.000","983.600","","0.000","-99.000","-99.000","-99.000","28.300","","22.500",""
"C0Z310","2020-05-09 00:00:00","59.000","339.000","0.600","24.200","0.990","1004.800","","30.500","-99.000","-99.000","-99.000","25.400","","23.100",""
"C0V610","2020-05-09 00:00:00","22.000","177.000","0.700","29.000","0.860","1007.500","","0.000","-99.000","-99.000","-99.000","31.100","","27.900",""
"C0E610","2020-05-09 00:00:00","850.000","0.000","0.200","23.100","0.710","918.000","","0.000","-99.000","-99.000","-99.000","29.500","","20.900",""
"C0R280","2020-05-09 00:00:00","242.000","256.000","0.500","25.400","0.950","983.500","","0.000","-99.000","-99.000","-99.000","31.600","","23.400",""
"C0V450","2020-05-09 00:00:00","51.000","0.000","0.000","26.300","0.990","1004.000","","0.000","-99.000","-99.000","-99.000","32.400","","26.300",""
"C0M720","2020-05-09 00:00:00","225.000","0.000","0.000","26.100","0.790","984.600","","0.000","-99.000","-99.000","-99.000","33.200","","24.900",""
"C0AD10","2020-05-09 00:00:00","27.000","210.000","0.700","27.500","0.800","1006.300","","0.000","-99.000","-99.000","-99.000","29.900","","24.900",""
"C0Z180","2020-05-09 00:00:00","34.000","0.000","0.000","25.000","0.990","1006.800","","17.000","-99.000","-99.000","-99.000","27.600","","23.600",""
"C0K420","2020-05-09 00:00:00","42.000","235.000","0.800","27.700","0.810","1005.100","","0.000","-99.000","-99.000","-99.000","34.200","","25.300",""
"C0D540","2020-05-09 00:00:00","227.000","233.000","0.700","24.500","0.900","985.100","","0.000","-99.000","-99.000","-99.000","30.500","","21.400",""
"C0E590","2020-05-09 00:00:00","40.000","192.000","2.100","27.800","0.740","1004.000","","0.000","-99.000","-99.000","-99.000","32.500","","23.700",""
"C0Z330","2020-05-09 00:00:00","488.000","0.000","0.100","23.600","0.990","958.500","","0.000","-99.000","-99.000","-99.000","29.800","","21.900",""
"C0R580","2020-05-09 00:00:00","10.000","0.000","0.100","27.400","0.880","1008.600","","0.000","-99.000","-99.000","-99.000","31.000","","25.400",""
"C0S810","2020-05-09 00:00:00","65.000","287.000","1.100","25.700","0.980","1005.400","","45.000","-99.000","-99.000","-99.000","30.300","","23.900",""
"C0V820","2020-05-09 00:00:00","441.000","18.000","0.500","23.500","0.920","963.500","","0.000","-99.000","-99.000","-99.000","33.900","","22.600",""
"C0K490","2020-05-09 00:00:00","91.000","91.000","0.600","26.000","0.820","999.400","","0.000","-99.000","-99.000","-99.000","33.700","","24.200",""
"C0SA20","2020-05-09 00:00:00","857.000","0.000","0.100","21.900","0.940","916.800","","0.500","-99.000","-99.000","-99.000","25.800","","20.000",""
"CM0140","2020-05-09 00:00:00","26.000","204.000","2.900","27.200","0.870","1008.000","","31.500","-99.000","-99.000","-99.000","29.400","","25.100",""
"C0AC80","2020-05-09 00:00:00","40.000","0.000","0.000","25.000","0.910","1004.900","","0.000","-99.000","-99.000","-99.000","32.900","","22.500",""
